-26944 ,    18648 ,
-30170 ,    12787 ,
-32138 ,    6393 ,
-32767 ,    -268 ,
-32029 ,    -6918 ,
-29957 ,    -13279 ,
-26635 ,    -19087 ,
-22204 ,    -24099 ,
-16846 ,    -28106 ,
-10786 ,    -30942 ,
-4277 ,    -32488 ,
2411 ,    -32679 ,
8998 ,    -31508 ,
15210 ,    -29024 ,
20788 ,    -25330 ,
25499 ,    -20580 ,
29148 ,    -14972 ,
31581 ,    -8740 ,
32698 ,    -2143 ,
32452 ,    4543 ,
30853 ,    11039 ,
27967 ,    17075 ,
23916 ,    22400 ,
18868 ,    26791 ,
13033 ,    30064 ,
6655 ,    32085 ,
0 ,    32768 ,
-6655 ,    32085 ,
-13033 ,    30064 ,
-18868 ,    26791 ,
-23916 ,    22400 ,
-27967 ,    17075 ,
-30853 ,    11039 ,
-32452 ,    4543 ,
-32698 ,    -2143 ,
-31581 ,    -8740 ,
-29148 ,    -14972 ,
-25499 ,    -20580 ,
-20788 ,    -25330 ,
-15210 ,    -29024 ,
-8998 ,    -31508 ,
-2411 ,    -32679 ,
4277 ,    -32488 ,
10786 ,    -30942 ,
16846 ,    -28106 ,
22204 ,    -24099 ,
26635 ,    -19087 ,
29957 ,    -13279 ,
32029 ,    -6918 ,
32767 ,    -268 ,
32138 ,    6393 ,
30170 ,    12787 ,
26944 ,    18648 ,
22595 ,    23732 ,
17304 ,    27827 ,
11291 ,    30761 ,
4808 ,    32413 ,
-1876 ,    32714 ,
-8481 ,    31651 ,
-14733 ,    29269 ,
-20371 ,    25667 ,
-25159 ,    20994 ,
-28899 ,    15447 ,
-31434 ,    9255 ,
-32658 ,    2678 ,
-32522 ,    -4011 ,
-31029 ,    -10533 ,
-28243 ,    -16616 ,
-24279 ,    -22006 ,
-19304 ,    -26478 ,
-13524 ,    -29847 ,
-7180 ,    -31972 ,
-536 ,    -32764 ,
6130 ,    -32190 ,
12540 ,    -30274 ,
18427 ,    -27096 ,
23546 ,    -22788 ,
27684 ,    -17531 ,
30668 ,    -11543 ,
32373 ,    -5073 ,
32729 ,    1608 ,
31720 ,    8222 ,
29389 ,    14493 ,
25833 ,    20160 ,
21199 ,    24986 ,
15683 ,    28771 ,
9512 ,    31357 ,
2945 ,    32635 ,
-3745 ,    32553 ,
-10279 ,    31114 ,
-16384 ,    28378 ,
-21806 ,    24459 ,
-26320 ,    19520 ,
-29736 ,    13767 ,
-31912 ,    7441 ,
-32758 ,    804 ,
-32239 ,    -5866 ,
-30375 ,    -12292 ,
-27246 ,    -18205 ,
-22980 ,    -23359 ,
-17757 ,    -27540 ,
-11793 ,    -30572 ,
-5338 ,    -32330 ,
1340 ,    -32741 ,
7962 ,    -31786 ,
